no;htobit;htobit_3;htobit_1;htobit_2;htobit_4;htobit_5
1;0;1455030.547;2;2;1;0
2;0.002285129;1097531.477;3;3;0;0
3;0.012875525;1172457.154;2;1;0;0
4;0.005907236;948667.4248;2;2;1;0
5;0.021980479;992517.1896;2;1;2;0
6;0.016691271;1206378.885;2;2;3;0
7;0.069258422;1073890.785;4;2;0;0
8;0.026909228;1211182.526;0;2;1;0
9;0;1689341.679;1;2;0;0
10;0.031384606;1201194.433;4;2;0;0
11;0.001669109;848357.3619;4;1;0;0
12;0.002182453;439871.9116;0;1;0;0
13;0.042863991;312990.103;4;1;0;0
14;0.002330882;715609.0808;4;1;0;0
15;0.033232182;742774.2699;1;2;1;0
16;0.014760464;1070156.103;4;2;0;0
17;0.011046137;603830.8943;0;1;0;0
18;0.002624185;1262105.808;2;4;0;0
19;0;549952.1302;3;2;0;0
20;0.021184852;1034559.563;4;1;0;0
21;0.006953863;648847.9234;4;2;0;0
22;0.00686353;931882.2445;4;2;0;0
23;0.021140942;1071097.492;2;2;0;0
24;0;386197.9051;4;1;0;0
25;0.121508569;443228.0215;4;1;0;0
26;0.00331792;2332785.988;1;2;1;0
27;0.019712457;1716681.501;1;2;2;0
28;0.035034284;893696.2089;4;3;0;0
29;0.005165568;1184768.353;4;2;0;0
30;0.035121851;718100.284;3;1;0;0
31;0.028355476;1257817.327;2;4;0;0
32;0.019685181;277366.0665;4;1;0;0
33;0.030785374;1290288.502;3;2;0;0
34;0.005985434;936273.0184;4;2;0;0
35;0.014261113;1347159.929;2;2;4;0
36;0.012717875;253815.9172;3;1;0;0
37;0;432547.9488;4;2;0;0
38;0.008219685;924123.3856;3;3;3;0
39;0.019527107;1396212.641;2;3;2;0
40;0.058253579;1060673.29;4;2;0;0
41;0.047332421;1105140.987;1;2;0;0
42;0;331791.8546;3;1;0;0
43;0.011346592;588017.8125;4;1;0;0
44;0.020289231;1437807.404;1;2;2;1
45;0.015436758;738496.7772;3;1;0;0
46;0;662480.0023;4;2;0;0
47;0.015824126;1549343.227;2;2;1;0
48;0.00259871;1269860.5;2;4;1;0
49;0;1109606.06;2;2;1;0
50;0.01380025;1449539.002;2;3;1;0
51;0.007577662;2191704.616;1;2;1;1
52;0.027020674;655202.2474;4;1;0;0
53;0.002806542;808112.1221;3;1;0;0
54;0.018439936;1093930.512;4;1;0;0
55;0.09507449;558825.2175;4;1;0;0
56;0.002068811;696051.7983;2;2;3;0
57;0.002273498;1108423.62;2;2;2;0
58;0.004278458;513269.2066;1;1;2;0
59;0.005272622;591736.2595;4;1;0;0
60;0.002307247;1867159.796;1;2;2;0
61;0.010872716;1652209.584;2;3;0;0
62;0;441620.8963;0;1;0;0
63;0.011721683;3363680.547;2;2;0;0
64;0.004526319;499301.7781;4;2;0;0
65;0;570895.2455;3;1;0;0
66;0.00807394;1018337.609;3;2;0;0
67;0;1960296.809;2;3;1;0
68;0.004649034;712405.9885;2;2;0;0
69;0;517886.1749;0;1;0;0
70;0.002561245;379502.9688;1;1;0;0
71;0;784966.7842;3;3;1;0
72;0.009056002;1159452.027;2;2;0;0
73;0.004201725;763972.1258;3;1;0;0
74;0.010215409;668402.1818;4;2;0;0
75;0.00189011;895186.4095;1;2;1;0
76;0.003269624;1843637.098;2;2;3;0
77;0;547461.8081;4;1;0;0
78;0.006103701;782475.6528;4;1;0;0
79;0.001212435;1702359.174;1;2;1;0
80;0.005983612;1520151.624;0;2;3;0
81;0.017570807;1533224.638;2;2;1;0
82;0.020161163;663057.078;2;1;0;0
83;0.024940023;1089173.218;4;2;0;0
84;0.002682418;621826.8198;3;3;0;0
85;0.018978579;1644591.505;4;2;0;0
86;0.011141696;549288.0214;4;1;0;0
87;0;915221.2164;2;4;0;0
88;0.017972898;1565023.694;1;2;0;0
89;0.009246298;1295221.197;2;3;1;0
90;0;1453565.952;2;4;0;0
91;0.002886051;831586.1367;0;2;0;0
92;0.008316122;1683957.985;2;5;0;0
93;0;1399121.069;4;3;0;0
94;0.001084497;608577.2455;4;2;0;0
95;0.00183409;582305.0649;4;1;0;0
96;0.007090308;937617.7971;3;3;1;0
97;0;437576.1569;0;1;1;0
98;0.000733114;851163.7566;1;2;0;0
99;0.007753447;498358.898;4;1;0;0
100;0.005751101;1412599.353;1;2;1;0
101;0.016300255;1275072.556;4;2;0;0
102;0.00279498;1365304.823;2;2;2;0
103;0.079237789;863905.8026;3;2;0;0
104;0.006633995;1257161.345;2;1;3;0
105;0;476337.135;3;1;0;0
106;0.008023858;991542.734;3;1;0;0
107;0;619530.153;4;1;0;0
108;0.001508182;954792.1601;1;2;1;0
109;0.024151132;2006613.586;2;2;3;0
110;0;712859.9744;1;2;0;0
111;0;684701.9875;0;1;0;0
112;0;862624.7885;2;2;1;0
113;0.062037006;1378128.73;4;1;0;0
114;0.010770375;1071829.12;4;2;0;0
115;0.011808312;487792.2153;4;1;0;0
116;0.003103076;1334159.706;4;2;0;0
117;0.007803107;1225153.404;3;2;0;0
118;0;1185630.768;2;2;0;0
119;0.005458731;1670717.883;4;2;0;0
120;0.00214604;458519.0255;2;1;0;0
121;0.016502803;1076908.041;1;2;0;0
122;0.009196853;1920222.792;3;3;0;0
123;0.047819577;1056470.61;3;2;0;0
124;0;297530.9082;1;1;0;0
125;0.032429107;341174.874;4;1;0;0
126;0.021163901;1432816.691;2;2;0;0
127;0.015624807;1698005.663;2;3;1;0
128;0.006693175;765556.243;2;2;2;0
129;0.007741127;1119991.948;0;2;1;0
130;0.015927151;876993.3129;0;2;0;0
131;0;1146768.313;1;3;3;1
132;0.007994638;492329.7674;1;1;2;0
133;0.020346966;1812162.277;3;2;0;0
134;0.004224794;877676.0531;3;2;0;0
135;0.0369795;668154.2644;3;2;0;0
136;0;782442.0733;4;2;0;0
137;0;1677042.56;3;3;0;0
138;0.010987489;1581707.356;2;4;0;0
139;0.011026401;873176.9391;0;2;1;0
140;0.001929318;945412.4118;1;2;0;0
141;0;1096803.224;3;4;0;0
142;0.037581965;861477.115;1;2;1;0
143;0.067954436;776329.3687;2;2;0;0
144;0.010114841;514887.0735;4;1;0;0
145;0.001868388;1101483.541;1;2;3;0
146;0.01144014;1432499.712;2;4;0;0
147;0.012478206;1180938.603;0;2;1;1
148;0.046429988;1455008.345;2;2;0;0
149;0.023124363;955355.9636;1;2;0;0
150;0.014885986;1793162.377;1;2;3;0
151;0.057528403;890759.7732;3;1;0;0
152;0.000854809;1347670.072;1;2;2;1
153;0.019055158;1948448.446;2;2;2;0
154;0.012261845;645906.0803;4;2;0;0
